rank	nome	frequencia	percent
969	tiburcio	15607	0.0077
970	alfredo	15582	0.0077
971	orlando	15563	0.0077
972	marcia	15527	0.0076
973	militao	15522	0.0076
974	ramiro	15518	0.0076
975	fermino	15488	0.0076
976	balieiro	15478	0.0076
977	onofre	15439	0.0076
978	prudente	15408	0.0076
979	goveia	15382	0.0076
980	acosta	15329	0.0075
981	justo	15324	0.0075
982	vasconselos	15310	0.0075
983	natividade	15303	0.0075
984	bacelar	15298	0.0075
985	paranhos	15288	0.0075
986	cota	15260	0.0075
987	zago	15258	0.0075
988	olegario	15231	0.0075
989	gomez	15220	0.0075
